epoch,train_loss,val_loss,val_acc,val_miou,lr
1,1.0267671201680157,1.0168373703956604,0.45889211696681986,0.17798214213250316,0.000999874243353782
2,0.9103019446940035,0.8352313697338104,0.6096134982345587,0.3507916097244016,0.0009994970367373866
3,0.814265661948436,0.6748536109924317,0.681152541728612,0.43889847749878363,0.0009988685700857047
4,0.7664658652769553,0.599496042728424,0.7215594484896608,0.48074798511063843,0.0009979891598506218
5,0.7072248684393393,0.6608840227127075,0.6866409048097716,0.44789703583044405,0.0009968592488416746
6,0.7128769529832376,0.5744174659252167,0.6984616797878092,0.47501628727042383,0.0009954794060030834
7,0.6885812105359258,0.5204576313495636,0.762503009274902,0.5393813373814559,0.0009938503261272714
8,0.6528517797186568,0.521570697426796,0.7140142196158265,0.5071197191100499,0.0009919728295050155
9,0.6497706416490916,0.4936917066574097,0.74518436824233,0.5049762312156652,0.0009898478615124062
10,0.6337563766015543,0.5375286489725113,0.6839448320719016,0.4869042670146785,0.000987476492134821
11,0.6192146483305339,0.45082410275936124,0.7904726356602244,0.5747774210698972,0.0009848599154281552
12,0.6174067758225106,0.4380574494600296,0.7837024270594,0.5701111024129549,0.0009819994489175788
13,0.598852463670679,0.43967744410037995,0.7679021499949318,0.5683236546520746,0.0009788965329341228
14,0.6023504919296986,0.4533303052186966,0.771338794727328,0.5759987970607806,0.0009755527298894293
15,0.5931604979811488,0.4355480432510376,0.7998990573050412,0.601751591851776,0.0009719697234890296
16,0.5798570030444378,0.5083696871995926,0.7832742653145696,0.5617796318023917,0.0009681493178845487
17,0.5930267822098088,0.4311015993356705,0.75568291006386,0.5581279996522295,0.0009640934367652599
18,0.5769090660520502,0.42331670224666595,0.7754604454571564,0.5604686702726384,0.0009598041223894496
19,0.5744720310778231,0.5057145088911057,0.697450405037843,0.4890362912076789,0.0009552835345560785
20,0.5767371090682777,0.40058145821094515,0.8125794554162725,0.5942265537582507,0.0009505339495172582
21,0.5645794264368109,0.38073384165763857,0.8286099156135964,0.6294895418328833,0.0009455577588320895
22,0.5590421058036186,0.39552116096019746,0.7858399361400189,0.5933732514603617,0.0009403574681624404
23,0.5673829776209753,0.3861913651227951,0.8089284658399784,0.6236096782986988,0.0009349356960112697
24,0.5437199996935355,0.37424615025520325,0.8189597781372483,0.643422740931052,0.0009292951724041319
25,0.5332628246900197,0.38347253799438474,0.8435241723966076,0.6727631879500627,0.0009234387375145277
26,0.5691579757510005,0.3612728238105774,0.8447427967461819,0.6582478435327017,0.0009173693402337905
27,0.5634672239020064,0.4009975492954254,0.8217533883379511,0.6041008224635424,0.0009110900366862309
28,0.5587706493364798,0.37031749486923216,0.8305341357362481,0.65162865679394,0.000904603988690286
29,0.5370836829816973,0.3564814209938049,0.8279658251959724,0.631569720544246,0.0008979144621664494
30,0.5210562340311102,0.3654021620750427,0.8392917856298149,0.6703127304144485,0.0008910248254927808
31,0.5321205306697536,0.3746897459030151,0.8353620421678605,0.6582542669106209,0.0008839385478088264
32,0.5555012532182642,0.37537560760974886,0.8397439687795648,0.6608232837373147,0.0008766591972688036
33,0.536938077694661,0.390808042883873,0.8080299069130964,0.6298475260587566,0.0008691904392449266
34,0.5305886469982766,0.3628932237625122,0.8520018805328423,0.6732792505455814,0.000861536034481782
35,0.5209101140499115,0.3818090111017227,0.8294006421898229,0.6532104705483263,0.0008536998372026804
36,0.5267109830637235,0.3676049828529358,0.8507887995844033,0.6767732957704091,0.0008456857931689388
37,0.5294576118121276,0.3567145198583603,0.8458555685312205,0.652597191841114,0.0008374979376930711
38,0.5162217826456637,0.3596561551094055,0.8540118913873497,0.6800324609934328,0.0008291403936068863
39,0.518393650248244,0.34819298386573794,0.8564542875304095,0.690512268660876,0.0008206173691855193
40,0.5226002359712446,0.3465432494878769,0.8540409282504392,0.6829262099592119,0.0008119331560284373
41,0.5022174498519382,0.35685192346572875,0.8358348150932559,0.6605420464879632,0.0008030921268984896
42,0.5136624953231296,0.3455745100975037,0.8544524597918638,0.6764615293060352,0.0007940987335200902
43,0.510050388606819,0.3432434558868408,0.8520078198912016,0.6686052454843351,0.0007849575043376416
44,0.5279113191205103,0.34577114284038546,0.8537931910139884,0.6732764652192651,0.000775673042235325
45,0.4984285179022196,0.3315836310386658,0.8570624778263954,0.6770923593979019,0.0007662500222194103
46,0.5037520600331796,0.3242974549531937,0.8562582887045547,0.6820128444309181,0.00075669318906425
47,0.49602820583291957,0.3461355775594711,0.8613373640018922,0.6814527947048477,0.0007470073549231411
48,0.4874421551420882,0.33159162402153014,0.8633637410883227,0.6837222558893481,0.0007371973969052627
49,0.4936814332330549,0.3472999304533005,0.8328246162910529,0.6499489689266932,0.0007272682546199035
