epoch,train_loss,val_loss,val_acc,val_miou,lr
1,1.0392338641484578,1.0540112304060083,0.43583856348830924,0.1684839102689196,0.0009990143508499217
2,0.9702779459953308,0.9221817772639426,0.48805238672455736,0.22160829480628802,0.0009960612933065818
3,0.8963494380315145,0.8327369125265824,0.5309981712055684,0.29915435723048056,0.00099115248173898
4,0.8447669239838919,0.8958417286998347,0.5256565762687525,0.296833334489828,0.0009843072889837512
5,0.7925561817487081,0.7466399418680292,0.5479637503801189,0.3343841719409969,0.0009755527298894294
6,0.7362158453464508,0.6645943373441696,0.6484974215265576,0.38634159026739795,0.0009649233547011816
7,0.7361622377236684,0.6678946088803442,0.6494537902081362,0.3849344584338483,0.0009524611127067769
8,0.6737818588813146,0.6919267452076862,0.6576326826260306,0.392544318375898,0.0009382151866819099
9,0.6807882006963094,0.6309233276467574,0.7044547563437626,0.4481541318163278,0.0009222417987882566
10,0.6489858903487523,0.6323654377146771,0.684590770289904,0.41207515342535184,0.0009046039886902864
11,0.6460467237234115,0.557602302024239,0.7225546209791863,0.4687834617831855,0.0008853713647665069
12,0.6048190846045812,0.532675564289093,0.7155300758548453,0.4780137854630436,0.0008646198293969952
13,0.6063989595572153,0.5213452263882286,0.754976654362076,0.4955658475563272,0.0008424312794113801
14,0.5854862095912298,0.6264169122043409,0.6417002878345046,0.39980163619131404,0.0008188932828794706
15,0.578903791308403,0.531641855051643,0.7356468146033248,0.5022166095025857,0.0007940987335200906
16,0.5632085770368576,0.5023243944895895,0.7679216838846465,0.5345222611607205,0.0007681454840920089
17,0.5507838674386343,0.5003087410801336,0.7856802333930261,0.539624919025692,0.0007411359602138069
18,0.5445865110556285,0.5271632702727067,0.7227273903145696,0.4842520904848723,0.0007131767561367538
19,0.5306515834728877,0.5216618682208815,0.7465529283940397,0.5334455328678182,0.0006843782140659967
20,0.5140779878695806,0.458234462298845,0.7868670491789431,0.5850056223064012,0.0006548539886902863
21,0.5113595263163249,0.48554409020825434,0.7986657825381809,0.6041869469588121,0.0006247205986388449
22,0.5134011361996332,0.43946929511271027,0.8026206032909853,0.583215278041,0.0005940969666355696
23,0.5132826759417852,0.45166933771811035,0.7891700683791728,0.5817877014464589,0.0005631039501653701
24,0.5017404139041901,0.4532308539277629,0.7840647279193135,0.5655092180251222,0.0005318638645048921
25,0.49738415479660036,0.43849816290955795,0.7749049174719557,0.57354903306558,0.0005005
26,0.4770138031244278,0.44396648595207616,0.777208596600892,0.5641232659616007,0.00046913613549510796
27,0.47389729420344034,0.40528733714630727,0.7993061773550479,0.6015299229711204,0.00043789604983463003
28,0.46747153202692665,0.41105515627484573,0.8009534913924179,0.5890030017850657,0.00040690303336443054
29,0.460097815990448,0.40277960896492004,0.8053120565279092,0.612652286858885,0.000376279401361155
30,0.4571528585751851,0.40298588103369665,0.8018593095350723,0.5922379320207832,0.00034614601130971394
31,0.4426862374941508,0.39475110957497045,0.8271698191900932,0.6335913466206824,0.00031662178593400354
32,0.45008175671100614,0.39636691934184026,0.809305813074402,0.5934833218710007,0.00028782324386324626
33,0.4519920359055201,0.39007629297281565,0.8199079637028652,0.617301957118085,0.00025986403978619317
34,0.44231824040412904,0.3942952744270626,0.8242572898364644,0.6316894198904668,0.00023285451590799105
35,0.4299025227626165,0.384478927442902,0.818364786415394,0.6209520566731939,0.0002069012664799097
36,0.43008614977200826,0.38311804438892166,0.8199219541914448,0.6263595704509917,0.00018210671712052946
37,0.42658584237098696,0.37050761909861313,0.8301550726871875,0.6437026753454932,0.00015856872058861996
38,0.42026520788669586,0.380901395490295,0.8254769700719692,0.6299521620321968,0.00013638017060300502
39,0.4302740691105525,0.37974168673941966,0.8238387630507501,0.6283648361397871,0.0001156286352334933
40,0.41894793113072715,0.37212666124105453,0.8361439256994189,0.6415989831516782,9.639601130971378e-05
41,0.4158354608217875,0.3646689433800547,0.8336342168282876,0.6436174194518961,7.875820121174356e-05
42,0.4166624331474304,0.3675744996259087,0.8389404395864306,0.6492119236552394,6.278481331809012e-05
43,0.4175981682538986,0.3672031885699222,0.8337850765306123,0.6393251252672938,4.853888729322332e-05
44,0.4145330627759298,0.36801002998101084,0.8307463688082849,0.6391850577265054,3.607664529881844e-05
45,0.408824999332428,0.36674525549537257,0.837991990049331,0.644824260388582,2.5447270110570804e-05
46,0.41150519808133446,0.3619408474156731,0.8417527917624004,0.6551078901866363,1.6692711016248827e-05
47,0.40369549532731375,0.3639072383704938,0.8386858390914312,0.6488749709566364,9.84751826101998e-06
48,0.40473383804162344,0.3644082710931176,0.8351539006538046,0.6465447833096498,4.938706693418354e-06
49,0.3996945043404897,0.36576409167365026,0.8390128997584133,0.6506781515891895,1.9856491500783555e-06
50,0.4090065783262253,0.3627795765274449,0.8435056943928233,0.6572435137006184,1e-06
