epoch,train_loss,val_loss,val_acc,val_miou,lr
1,1.181637357076009,1.0655543333605717,0.5991503285917016,0.2518960236729862,0.0009999726120980734
2,1.0729504283269247,0.9896685041879353,0.6157272757509461,0.2909840708195551,0.0009998904513956854
3,0.9740443595250448,0.9294222028631913,0.5325313835695702,0.2758122825335083,0.0009997535269026829
4,0.9214428734779357,0.7713865418183176,0.5868959804534396,0.3174007113672213,0.0009995618536343797
5,0.8976544014612834,0.8330328339024594,0.6634660564349912,0.33276992032258396,0.0009993154526099096
6,0.8461886501312256,0.7282091347794784,0.6543963262560819,0.3478976953953928,0.0009990143508499217
7,0.8488200505574545,0.7951221089614066,0.6029232070001014,0.3119602386310212,0.0009986585813736167
8,0.8062321964899699,0.7451079048608479,0.6162140391649209,0.3762886997117357,0.0009982481831951274
9,0.7830471316973369,0.628832010846389,0.7344335356762738,0.4756719287847417,0.0009977832013192385
10,0.7491280810038249,0.6660204749358328,0.6745173545411542,0.4204570680553332,0.0009972636867364526
11,0.7508114854494731,0.6224432211173209,0.7084299688936004,0.42747148934276913,0.0009966896964173982
12,0.7427782360712687,0.5584686241651836,0.8054320315667658,0.5260019095167969,0.000996061293306582
13,0.7319918751716614,0.5637647807598114,0.7705881918164617,0.5096446304379333,0.0009953785463154864
14,0.7121657657623292,0.6044752095874987,0.6823190317103662,0.42876622874138154,0.0009946415303150131
15,0.7144635510444641,0.582015208507839,0.749007995168266,0.49880688185951816,0.0009938503261272718
16,0.7210174036026001,0.6851771630738911,0.6992086530907893,0.46327672380766777,0.0009930050205167178
17,0.6815946491559347,0.5272996425628662,0.7800059683952223,0.5150720697107994,0.0009921057061806368
18,0.6798434694608052,0.6102169156074524,0.7243700848509934,0.4883263546276453,0.0009911524817389807
19,0.6616559982299804,0.5046952711908441,0.8001359057178334,0.5455953419262392,0.0009901454517235507
20,0.6715308197339376,0.4985215867820539,0.734286371574706,0.49884908126903954,0.0009890847265665364
21,0.6600072828928629,0.4801764221567857,0.7883895706978984,0.5423432757270694,0.0009879704225884047
22,0.6637565263112386,0.5149649554177335,0.7930059039861805,0.5255720799868947,0.000986802661985144
