epoch,train_loss,val_loss,val_acc,val_miou,lr
1,0.970126897902102,0.9769466876983642,0.22042753877213137,0.11380589199386952,0.0009046039886902864
2,0.8787544579119295,0.8533004224300385,0.4959149093205163,0.2840696635032174,0.0006548539886902863
3,0.7892645967973245,0.6588938236236572,0.6464362002044195,0.40896849648427425,0.0003461460113097138
4,0.7239563271806047,0.6157593071460724,0.7115652241857008,0.4802244354151816,9.639601130971379e-05
5,0.6885320673117766,0.5503490746021271,0.7810310356551561,0.5469855375041315,1e-06
