epoch,train_loss,val_loss,val_acc,val_miou,lr
1,1.3108820915222168,1.3107376098632812,0.03242087850765306,0.006484175701530611,0.0009972636867364526
2,1.2917404174804688,1.311131238937378,0.03242087850765306,0.006484175701530611,0.000989084726566536
3,1.2864970564842224,1.3115376234054565,0.03242087850765306,0.006484175701530611,0.0009755527298894295
4,1.2753909826278687,1.312215805053711,0.03242087850765306,0.006484304932735425,0.0009568159560924792
5,1.2560245990753174,1.3124886751174927,0.4091124242665816,0.08405918081264444,0.0009330796891903274
6,1.233834683895111,1.3124638795852661,0.41366888552295916,0.0835706908269861,0.0009046039886902865
7,1.2142508029937744,1.311746597290039,0.4149145009566326,0.08335689815243477,0.0008717008403259585
8,1.2065893411636353,1.3097933530807495,0.35829380580357145,0.07614207696860763,0.0008347307378762498
9,1.191409170627594,1.3100333213806152,0.40309859295280615,0.08067323069696239,0.0007940987335200904
10,1.1580097675323486,1.315890908241272,0.4159782565369898,0.08319730941704036,0.00075025
11,1.1154704093933105,1.3213183879852295,0.4159782565369898,0.08319730941704036,0.0007036649532163624
12,1.099032700061798,1.3235111236572266,0.41597576530612246,0.08319577484087144,0.0006548539886902864
